Series,Issue,"Full Title","Variant Description",Publisher,"Release Date",Format,"Added Date",Creators
"Batman: Urban Legends",4A,,"Regular Jorge Molina Cover","DC Comics","Jun 08, 2021",Comic,"Jun 15, 2021","Chip Zdarsky | Matthew Rosenberg | Meghan Fitzmartin"
"Batman: Urban Legends",5C,,"Variant Tyler Kirkham Cover","DC Comics","Jul 13, 2021",Comic,"Jul 16, 2021","Chip Zdarsky | Marguerite Bennett | Matthew Rosenberg"
"Batman: Urban Legends",6C,,,"DC Comics","Aug 10, 2021",Comic,"Aug 20, 2021","Chip Zdarsky | Joshua Williamson | Matthew Rosenberg"
"Batman: Urban Legends",7B,,"Hicham Habchi Variant Cover","DC Comics","Sep 14, 2021",Comic,"Sep 17, 2021","Jackson Lanzing | Collin Kelly | Max Dunbar"
"Batman: Urban Legends",8B,,"Khary Randolph Card Stock Variant","DC Comics","Oct 12, 2021",Comic,"Oct 16, 2021","Brandon Thomas | Dan Watters | Alyssa Wong"
"Batman: Urban Legends",9C,,"Riccardo Federici Variant","DC Comics","Nov 09, 2021",Comic,"Nov 12, 2021","Brandon Thomas | Dan Watters | Sam Johns"
"Batman: White Knight",1A,,"Sean Murphy & Matt Hollingsworth Regular Cover","DC Comics","Oct 04, 2017",Comic,"May 25, 2018","Sean Gordon Murphy"
"Batman: White Knight",1B,,"Sean Murphy & Matt Hollingsworth Variant Cover","DC Comics","Oct 04, 2017",Comic,"May 25, 2018","Sean Gordon Murphy"
"Batman: White Knight",1G,,"Sean Murphy Convention Exclusive Silver Foil Variant Cover","DC Comics","Oct 04, 2017",Comic,"Mar 20, 2020","Sean Gordon Murphy"
"Batman: White Knight",2A,,"Sean Murphy & Matt Hollingsworth Regular Cover","DC Comics","Nov 01, 2017",Comic,"Mar 20, 2020","Sean Gordon Murphy"
"Batman: White Knight",3C,,"Sean Murphy & Matt Hollingsworth 2nd Print Variant Cover","DC Comics","Jan 17, 2018",Comic,"Mar 20, 2020","Sean Gordon Murphy"
"Batman: White Knight",4B,,"Sean Murphy & Matt Hollingsworth Variant Cover","DC Comics","Jan 03, 2018",Comic,"Mar 20, 2020","Sean Gordon Murphy"
"Batman: White Knight",5B,,"Sean Murphy & Matt Hollingsworth Variant Cover","DC Comics","Feb 07, 2018",Comic,"Mar 20, 2020","Sean Gordon Murphy"
"Batman: White Knight",6A,,"Sean Murphy & Matt Hollingsworth Regular Cover","DC Comics","Mar 07, 2018",Comic,"Mar 20, 2020","Sean Gordon Murphy"
"Batman: White Knight",7B,,"Sean Murphy & Matt Hollingsworth Variant Cover","DC Comics","Apr 04, 2018",Comic,"Mar 20, 2020","Sean Gordon Murphy"
"Batman: White Knight",8A,,"Sean Murphy & Matt Hollingsworth Regular Cover","DC Comics","May 09, 2018",Comic,"Mar 20, 2020","Sean Gordon Murphy"
"Batman: White Knight Presents: Harley Quinn",1B,"Book One","Matteo Scalera Variant","DC Comics","Oct 20, 2020",Comic,"Jun 01, 2021","Matteo Scalera"
"Batman: White Knight Presents: Harley Quinn",2B,"Book Two",,"DC Comics","Nov 24, 2020",Comic,"Jun 01, 2021","Katana Collins | Matteo Scalera"
"Batman: White Knight Presents: Harley Quinn",3B,"Book Three","Cvr B Matteo Scalera Variant","DC Comics","Dec 22, 2020",Comic,"Jun 01, 2021","Katana Collins | Matteo Scalera"
"Batman: White Knight Presents: Harley Quinn",4B,"Book Four",,"DC Comics","Jan 26, 2021",Comic,"Jun 01, 2021","Katana Collins | Matteo Scalera"
"Batman: White Knight Presents: Harley Quinn",5B,"Book Five","Variant Matteo Scalera Cover","DC Comics","Feb 23, 2021",Comic,"Jun 01, 2021","Matteo Scalera"
"Batman: White Knight Presents: Harley Quinn",6B,,"Variant Matteo Scalera Cover","DC Comics","Mar 23, 2021",Comic,"Jun 01, 2021","Matteo Scalera"
"Batman: Year Two",TP,,,"DC Comics",1990,"Trade Paperback","Feb 23, 2014","Mike W. Barr | Alan Davis | Todd McFarlane"
"Battlestar Galactica: War of Eden",1,"War of Eden, War Of Eden: Part 1",,"Maximum Press","Jul 1995",Comic,"Feb 23, 2014","Rob Liefeld | Robert Place Napton | Hector Gomez"
"Battlestar Galactica: War of Eden",2,"War of Eden, War Of Eden: Part 2",,"Maximum Press","Aug 1995",Comic,"Feb 23, 2014","Rob Liefeld | Robert Place Napton | Hector Gomez"
"Battlestar Galactica: War of Eden",3,"War of Eden, War Of Eden: Part 3",,"Maximum Press","Sep 1995",Comic,"Feb 23, 2014","Rob Liefeld | Robert Place Napton | Hector Gomez"
Batwing,9,"Night of the Owls - You Have Been Judged Unworthy",,"DC Comics","May 02, 2012",Comic,"Feb 23, 2014","Judd Winick | Marcus To | Ryan Winn"
Batwing,27,"Not All That Glitters",,"DC Comics","Jan 08, 2014",Comic,"Feb 23, 2014","Justin Gray | Jimmy Palimotti | Scott Kolins"
"Batwing: Futures End",1A,"Futures End, Leviathan Rises","3D Cover","DC Comics","Sep 03, 2014",Comic,"Oct 04, 2014","Justin Gray | Jimmy Palmiotti | Eduardo Pansica"
Batwoman,0A,Interlude,,"DC Comics","Sep 19, 2012",Comic,"Feb 23, 2014","J.H. Williams III | W. Haden Blackman"
Batwoman,1B,"Hydrology, Part 1: Leaching","2nd Printing Variant Cover","DC Comics","Sep 14, 2011",Comic,"Feb 23, 2014","J.H. Williams III | W. Haden Blackman"
Batwoman,2,"Hydrology, Part 2: Infiltration",,"DC Comics","Oct 12, 2011",Comic,"Feb 23, 2014","J.H. Williams III | W. Haden Blackman"
Batwoman,3,"Hydrology, Part 3: Gaining Stream",,"DC Comics","Nov 09, 2011",Comic,"Feb 23, 2014","J.H. Williams III | W. Haden Blackman"
Batwoman,4,"Hydrology, Part 4: Estuary",,"DC Comics","Dec 14, 2011",Comic,"Feb 23, 2014","J.H. Williams III | W. Haden Blackman"
Batwoman,5A,"Hydrology, Part 5: Evapotranspiration","J.H. Williams III Regular Cover","DC Comics","Jan 11, 2012",Comic,"Feb 23, 2014","J.H. Williams III | W. Haden Blackman"
Batwoman,6A,"To Drown The World, Part One","J.H. Williams III Regular Cover","DC Comics","Feb 08, 2012",Comic,"Feb 23, 2014","J.H. Williams III | W. Haden Blackman | Amy Reeder"
Batwoman,7A,"To Drown The World, Part Two",,"DC Comics","Mar 14, 2012",Comic,"Feb 23, 2014","J.H. Williams III | W. Haden Blackman | Amy Reeder"
Batwoman,8A,"To Drown The World, Part Three",,"DC Comics","Apr 11, 2012",Comic,"Feb 23, 2014","J.H. Williams III | W. Haden Blackman | Amy Reeder"
Batwoman,9A,"To Drown The World, Part Four","Ben Oliver Regular Cover","DC Comics","May 16, 2012",Comic,"Feb 23, 2014","J.H. Williams III | W. Haden Blackman | Trevor McCarthy"
Batwoman,12A,"World's Finest, Part 1: Blood Tides",,"DC Comics","Aug 15, 2012",Comic,"Feb 23, 2014","J.H. Williams III | W. Haden Blackman"
"Batwoman, Vol. 1 (2011)",32B,"Deadly is the Night","Bombshells Variant Cover","DC Comics","Jun 18, 2014",Comic,"Dec 13, 2015","Marc Andreyko | Jeremy Haun"
"Batwoman, Vol. 2",1A,"The Many Arms of Death, Part 1: Sinnerman","Regular Steve Epting Cover","DC Comics","Mar 15, 2017",Comic,"May 15, 2018","James Tynion, IV | Marguerite Bennett | Steve Epting"
"Batwoman, Vol. 2",2A,"The Many Arms of Death, Part 2: Running Up That Hill","Regular Steve Epting Cover","DC Comics","Apr 19, 2017",Comic,"May 15, 2018","James Tynion, IV | Marguerite Bennett | Steve Epting"
"Batwoman, Vol. 2",3A,"The Many Arms of Death, Part 3: If I Had A Heart","Regular Steve Epting Cover","DC Comics","May 17, 2017",Comic,"May 15, 2018","James Tynion, IV | Marguerite Bennett | Steve Epting"
"Batwoman, Vol. 2",4A,"The Many Arms of Death, Finale","Regular Steve Epting Cover","DC Comics","Jun 21, 2017",Comic,"May 17, 2018","James Tynion, IV | Marguerite Bennett | Steve Epting"
"Batwoman, Vol. 2",5A,"The Many Arms of Death, Epilogue: Blinding","Regular Stephanie Hans Cover","DC Comics","Jul 19, 2017",Comic,"May 17, 2018","James Tynion, IV | Marguerite Bennett | Stephanie Hans"
"Batwoman, Vol. 2",6A,"Pax Batmana","Regular Eddy Barrows Cover","DC Comics","Aug 16, 2017",Comic,"May 17, 2018","James Tynion, IV | Marguerite Bennett | Renato Arlem"
"Batwoman, Vol. 2",7A,"Fear and Loathing, Part One: Trippin' Bats","Regular Ben Oliver Cover","DC Comics","Sep 20, 2017",Comic,"May 17, 2018","Marguerite Bennett | Fernando Blanco"
"Batwoman, Vol. 2",8A,Wonderland,"Regular Fernando Blanco Cover","DC Comics","Oct 18, 2017",Comic,"May 17, 2018","Marguerite Bennett | Fernando Blanco"
"Batwoman, Vol. 2",9A,"Fear and Loathing, Part Three: Stay High","Regular Fernando Blanco Cover","DC Comics","Nov 15, 2017",Comic,"May 17, 2018","Marguerite Bennett | Fernando Blanco"
"Batwoman, Vol. 2",10A,"Fear and Loathing, Finale: Kiss From A Rose","Regular Dan Panosian Cover","DC Comics","Dec 20, 2017",Comic,"May 17, 2018","Marguerite Bennett | Marc Laming | Fernando Blanco"
"Batwoman, Vol. 2",11A,Pygsty,"Regular Bill Sienkiewicz Cover","DC Comics","Jan 17, 2018",Comic,"May 17, 2018","Kate Perkins | Scott Godlewski"
"Batwoman, Vol. 2",12A,"Paradise Is Burning Down","Regular Dan Panosian Cover","DC Comics","Feb 21, 2018",Comic,"May 17, 2018","Marguerite Bennett | Scott Godlewski"
"Batwoman, Vol. 2",13A,"The Fall of the House of Kane, Part One","Regular Dan Panosian Cover","DC Comics","Mar 21, 2018",Comic,"May 17, 2018","Marguerite Bennett | Fernando Blanco"
"Batwoman, Vol. 2",14A,"The Fall of the House of Kane, Part Two","Regular Dan Panosian Cover","DC Comics","Apr 18, 2018",Comic,"May 17, 2018","Marguerite Bennett | Fernando Blanco"
"Batwoman, Vol. 2",15A,,"Regular Dan Panosian Cover","DC Comics","May 16, 2018",Comic,"May 25, 2018","Marguerite Bennett | Fernando Blanco"
"Batwoman, Vol. 2",16A,"The Fall of House Kane, Finale","Regular Dan Panosian Cover","DC Comics","Jun 20, 2018",Comic,"Jul 15, 2018","Marguerite Bennett | Fernando Blanco"
"Batwoman, Vol. 2",17A,"The Time of Your Life, Part One","Regular Dan Panosian Cover","DC Comics","Jul 18, 2018",Comic,"Aug 03, 2018","Marguerite Bennett | Fernando Blanco"
"Batwoman, Vol. 2",18A,"The Time of Your Life, Finale","Regular Dan Panosian Cover","DC Comics","Aug 15, 2018",Comic,"Aug 24, 2019","Marguerite Bennett | Fernando Blanco"
"Batwoman: Rebirth",1A,,"Regular Steve Epting Cover","DC Comics","Feb 15, 2017",Comic,"May 15, 2018","James Tynion, IV | Marguerite Bennett | Steve Epting"
Beauty,1A,,"Jeremy Haun Cover","Image Comics","Aug 12, 2015",Comic,"Aug 21, 2015","Jeremy Haun | Jason A. Hurley"
"Beauty and the Beast (Disney)",1,"The Official Movie Adaptation","Premium Edition","Disney Comics",1991,Comic,"Feb 23, 2014","Bobbi J.G. Weiss | Colleen Doran | Dave Hunt"
"Before Watchmen: Comedian",1A,Smile,"J.G. Jones Regular Cover","DC Comics","Jun 20, 2012",Comic,"Feb 23, 2014","Brian Azzarello | Len Wein | John Higgins"
"Before Watchmen: Comedian",2A,"I Get Around","J.G. Jones Regular Cover","DC Comics","Jul 25, 2012",Comic,"Feb 23, 2014","Brian Azzarello | Len Wein | John Higgins"
"Before Watchmen: Comedian",3A,"Play With Fire","J.G. Jones Regular Cover","DC Comics","Sep 12, 2012",Comic,"Feb 23, 2014","Brian Azzarello | John Higgins | J.G. Jones"
"Before Watchmen: Comedian",4A,Conquistador,,"DC Comics","Dec 05, 2012",Comic,"Feb 23, 2014","Brian Azzarello | John Higgins | J.G. Jones"
"Before Watchmen: Comedian",5A,Kicks,,"DC Comics","Feb 13, 2013",Comic,"Feb 23, 2014","Brian Azzarello | J.G. Jones"
"Before Watchmen: Comedian",6A,Eighties,,"DC Comics","Apr 24, 2013",Comic,"Feb 23, 2014","Brian Azzarello | J.G. Jones"
"Before Watchmen: Dollar Bill",1A,"I Want To Be In Pictures","Steve Rude Regular Cover","DC Comics","Jan 30, 2013",Comic,"Feb 23, 2014","Len Wein | Steve Rude"
"Before Watchmen: Dr. Manhattan",1A,"What's In The Box?","Adam Hughes Regular Cover","DC Comics","Aug 22, 2012",Comic,"Feb 23, 2014","John Higgins | J. Michael Straczynski | Adam Hughes"
"Before Watchmen: Dr. Manhattan",2A,"One-Fifteen P.M.",,"DC Comics","Oct 10, 2012",Comic,"Feb 23, 2014","John Higgins | J. Michael Straczynski | Adam Hughes"
"Before Watchmen: Dr. Manhattan",3A,"Ego Sum",,"DC Comics","Nov 28, 2012",Comic,"Feb 23, 2014","John Higgins | J. Michael Straczynski | Adam Hughes"
"Before Watchmen: Dr. Manhattan",4A,"Change In Perspective",,"DC Comics","Feb 27, 2013",Comic,"Feb 23, 2014","J. Michael Straczynski | Adam Hughes"
"Before Watchmen: Minutemen",1A,"The Minute of Truth, Chapter One: Eight Minutes","Darwyn Cooke Regular Cover","DC Comics","Jun 06, 2012",Comic,"Feb 23, 2014","Darwyn Cooke | Len Wein | John Higgins"
"Before Watchmen: Minutemen",2A,"The Minute of Truth, Golden Years","Darwyn Cooke Regular Cover","DC Comics","Jul 11, 2012",Comic,"Feb 23, 2014","Darwyn Cooke | Len Wein | John Higgins"
"Before Watchmen: Minutemen",3A,"The Minute of Truth, Child's Play","Darwyn Cooke Regular Cover","DC Comics","Aug 29, 2012",Comic,"Feb 23, 2014","John Higgins | Darwyn Cooke"
"Before Watchmen: Minutemen",4A,"The Minute of Truth, Chapter Four: War Stories",,"DC Comics","Oct 17, 2012",Comic,"Feb 23, 2014","Darwyn Cooke"
"Before Watchmen: Minutemen",5A,"The Minute of Truth, The Demon Core",,"DC Comics","Dec 05, 2012",Comic,"Feb 23, 2014","John Higgins | Darwyn Cooke"
"Before Watchmen: Minutemen",6A,"The Minute of Truth, Chapter Six: The Last Minute",,"DC Comics","Jan 23, 2013",Comic,"Feb 23, 2014","Darwyn Cooke"
"Before Watchmen: Moloch",1A,"Forgive Me, Father, For I Have Sinned","Eduardo Risso Regular Cover","DC Comics","Nov 07, 2012",Comic,"Feb 23, 2014","John Higgins | J. Michael Straczynski | Eduardo Risso"
"Before Watchmen: Moloch",2A,"The Eleven-Thirty Absolution",,"DC Comics","Dec 19, 2012",Comic,"Feb 23, 2014","John Higgins | J. Michael Straczynski | Eduardo Risso"
"Before Watchmen: Nite Owl",1A,"No Such Thing As A Free Lunch","Andy Kubert Regular Cover","DC Comics","Jun 27, 2012",Comic,"Feb 23, 2014","Len Wein | J. Michael Straczynski | John Higgins"
"Before Watchmen: Nite Owl",2A,"Some Things Are Just Inevitable",,"DC Comics","Aug 01, 2012",Comic,"Feb 23, 2014","Len Wein | J. Michael Straczynski | John Higgins"
"Before Watchmen: Nite Owl",3A,"Thanks For Coming",,"DC Comics","Sep 19, 2012",Comic,"Feb 23, 2014","John Higgins | J. Michael Straczynski | Andy Kubert"
"Before Watchmen: Nite Owl",4A,"From One Nite Owl To Another",,"DC Comics","Nov 07, 2012",Comic,"Feb 23, 2014","J. Michael Straczynski | Andy Kubert | Bill Sienkiewicz"
"Before Watchmen: Ozymandias",1A,"I Met A Traveler...!","Jae Lee Regular Cover","DC Comics","Jul 04, 2012",Comic,"Feb 23, 2014","Len Wein | John Higgins | Jae Lee"
"Before Watchmen: Ozymandias",2A,"The Hand That Mocked Them...!",,"DC Comics","Aug 08, 2012",Comic,"Feb 23, 2014","Len Wein | John Higgins | Jae Lee"
"Before Watchmen: Ozymandias",3A,"The Heart That Fed...!",,"DC Comics","Sep 26, 2012",Comic,"Feb 23, 2014","John Higgins | Len Wein | Jae Lee"
"Before Watchmen: Ozymandias",4A,"Shattered Visage...!",,"DC Comics","Nov 14, 2012",Comic,"Feb 23, 2014","John Higgins | Len Wein | Jae Lee"
"Before Watchmen: Ozymandias",5A,"These Lifeless Things...!",,"DC Comics","Jan 16, 2013",Comic,"Feb 23, 2014","Len Wein | Jae Lee"
"Before Watchmen: Rorschach",1A,"Damn Town","Lee Bermejo Regular Cover","DC Comics","Aug 15, 2012",Comic,"Feb 23, 2014","Brian Azzarello | Lee Bermejo"
"Before Watchmen: Rorschach",2A,,,"DC Comics","Oct 03, 2012",Comic,"Feb 23, 2014","Brian Azzarello | John Higgins | Lee Bermejo"
"Before Watchmen: Rorschach",3A,,,"DC Comics","Nov 21, 2012",Comic,"Feb 23, 2014","Brian Azzarello | John Higgins | Lee Bermejo"
"Before Watchmen: Rorschach",4A,,,"DC Comics","Mar 06, 2013",Comic,"Feb 23, 2014","Brian Azzarello | Lee Bermejo"
"Before Watchmen: Silk Spectre",1A,"Mean Goodbye","Amanda Conner Regular Cover","DC Comics","Jun 13, 2012",Comic,"Feb 23, 2014","Darwyn Cooke | Amanda Conner | Len Wein"
"Before Watchmen: Silk Spectre",2A,"Getting Into The World","Amanda Conner Regular Cover","DC Comics","Jul 18, 2012",Comic,"Feb 23, 2014","Darwyn Cooke | Amanda Conner | Len Wein"
"Before Watchmen: Silk Spectre",3A,"No Illusion",,"DC Comics","Sep 05, 2012",Comic,"Feb 23, 2014","John Higgins | Darwyn Cooke | Amanda Conner"
"Before Watchmen: Silk Spectre",4A,"The End Of The Rainbow",,"DC Comics","Oct 24, 2012",Comic,"Feb 23, 2014","John Higgins | Darwyn Cooke | Amanda Conner"
"Beta Ray Bill",1K,"Argent Star, Part One","2nd Printing Daniel Warren Johnson Variant Cover","Marvel Comics","Mar 31, 2021",Comic,"Jun 18, 2021","Daniel Warren Johnson"
"Beta Ray Bill",2A,"""Argent Star"", Argent Star, Part Two","Daniel Warren Johnson Standard Cover","Marvel Comics","Apr 28, 2021",Comic,"Jun 13, 2021","Daniel Warren Johnson"
"Beta Ray Bill",3A,,"Regular Daniel Warren Johnson Cover","Marvel Comics","May 26, 2021",Comic,"Jun 13, 2021","Daniel Warren Johnson"
"Beta Ray Bill",4A,,"Regular Daniel Warren Johnson Cover","Marvel Comics","Jun 30, 2021",Comic,"Jul 03, 2021","Daniel Warren Johnson"
"Beta Ray Bill",5A,"Argent Star, Finale","Regular Daniel Warren Johnson Cover","Marvel Comics","Jul 28, 2021",Comic,"Aug 01, 2021","Daniel Warren Johnson"
"Betty & Veronica, Vol. 1",100,,,"Archie Comic Publications",1996,Comic,"Aug 03, 2018",
"Betty & Veronica, Vol. 2",1AH,,"Free Comic Book Day 2017 Edition","Archie Comic Publications",,Comic,"Aug 03, 2018",
"Betty & Veronica, Vol. 2",2E,,"Variant Kevin Wada Cover","Archie Comic Publications","Nov 09, 2016",Comic,"Aug 03, 2018",
"Betty & Veronica, Vol. 2",3A,"The Battle of Riverdale",,"Archie Comic Publications","Jun 14, 2017",Comic,"Aug 03, 2018","Adam Hughes"
"Betty's Diary",14,,,"Archie Comic Publications","Dec 1987",Comic,"Feb 23, 2014","Bob Bolling"
"Betty's Diary",38,,,"Archie Comic Publications",1990,Comic,"Feb 23, 2014",
"Beware The Batman",1A,"Law & (Dis)Order",,"DC Comics","Oct 23, 2013",Comic,"Feb 23, 2014","Ivan Cohen | Luciano Vecchio"
"Big Moose",1B,,,"Archie Comic Publications","Apr 26, 2017",Comic,"Aug 03, 2018",
"Big Trouble In Little China",1A,,"Main Covers","Boom! Studios","Jun 11, 2014",Comic,"Jul 20, 2014","Eric Powell | John Carpenter | Brian Churilla"
"Big Trouble In Little China",2A,,"Cover A","Boom! Studios","Jul 02, 2014",Comic,"Jul 16, 2014","Eric Powell | John Carpenter | Brian Churilla"
"Big Trouble In Little China",3A,,"Main Covers","Boom! Studios","Aug 06, 2014",Comic,"Aug 16, 2014","Eric Powell | John Carpenter | Brian Churilla"
"Big Trouble In Little China",4A,,"Main Covers","Boom! Studios","Sep 03, 2014",Comic,"Oct 04, 2014","Eric Powell | John Carpenter | Brian Churilla"
"Big Trouble In Little China",5A,,"Main Covers","Boom! Studios","Oct 01, 2014",Comic,"Aug 08, 2015","Eric Powell | John Carpenter | Brian Churilla"
"Big Trouble In Little China",6A,,"Main Covers","Boom! Studios","Nov 12, 2014",Comic,"Aug 08, 2015","Eric Powell | John Carpenter | Brian Churilla"
"Big Trouble In Little China",7A,,"Cover A","Boom! Studios","Dec 24, 2014",Comic,"Aug 01, 2015","Eric Powell | John Carpenter | Brian Churilla"
"Big Trouble In Little China",8A,,"Cover A","Boom! Studios","Jan 28, 2015",Comic,"Aug 01, 2015","Eric Powell | John Carpenter | Brian Churilla"
"Big Trouble In Little China",9A,,"Eric Powell Regular Cover","Boom! Studios","Feb 11, 2015",Comic,"Aug 01, 2015","Eric Powell | John Carpenter | Brian Churilla"
"Big Trouble In Little China",10A,,,"Boom! Studios","Mar 18, 2015",Comic,"Aug 01, 2015","Eric Powell | John Carpenter | Brian Churilla"
"Big Trouble In Little China",11A,,,"Boom! Studios","May 27, 2015",Comic,"Aug 01, 2015","Eric Powell | Brian Churilla"
"Big Trouble In Little China",12A,,"Brian Churilla Cover","Boom! Studios","May 27, 2015",Comic,"Aug 01, 2015","Eric Powell | Brian Churilla"
"Big Trouble In Little China",13A,,"Jay Shaw Cover","Boom! Studios","Jun 24, 2015",Comic,"Aug 01, 2015","Fred Van Lente | Joe Eisma"
"Big Trouble In Little China",14A,,"Jay Shaw Cover","Boom! Studios","Jul 22, 2015",Comic,"Aug 14, 2015","Fred Van Lente | Joe Eisma"
"Big Trouble In Little China",15A,,,"Boom! Studios","Sep 16, 2015",Comic,"Sep 12, 2015","Fred Van Lente | Joe Eisma"
"Big Trouble In Little China",16,,,"Boom! Studios","Oct 21, 2015",Comic,"May 30, 2016","Fred Van Lente | Joe Eisma"
"Big Trouble In Little China",17A,,,"Boom! Studios","Oct 21, 2015",Comic,"Jun 03, 2016","Fred Van Lente | Dan McDaid"
"Big Trouble In Little China",18A,,,"Boom! Studios","Nov 18, 2015",Comic,"May 30, 2016","Fred Van Lente | Dan McDaid"
"Big Trouble In Little China",19A,,,"Boom! Studios","Dec 16, 2015",Comic,"May 30, 2016","Fred Van Lente | Dan McDaid"
"Big Trouble In Little China",20A,,,"Boom! Studios","Jan 20, 2016",Comic,"May 30, 2016","Fred Van Lente | Dan McDaid"
"Big Trouble In Little China",21,,,"Boom! Studios","Feb 17, 2016",Comic,"May 30, 2016","Fred Van Lente | Victor Santos"
"Big Trouble In Little China",22,,,"Boom! Studios","Mar 16, 2016",Comic,"May 30, 2016","Fred Van Lente | Victor Santos"
"Big Trouble In Little China",23,,,"Boom! Studios","Apr 20, 2016",Comic,"May 30, 2016","Fred Van Lente | Victor Santos"
"Big Trouble In Little China",24,,,"Boom! Studios","May 11, 2016",Comic,"May 30, 2016","Fred Van Lente | Victor Santos"
"Big Trouble In Little China",25A,,,"Boom! Studios","Jun 08, 2016",Comic,"Jun 09, 2016","Fred Van Lente | Brian Churilla | Joe Eisma"
"Big Trouble In Little China: Escape From New York",1A,,"Main Covers","Boom! Studios","Oct 05, 2016",Comic,"Jan 11, 2017","Gregory Pak | Daniel Bayliss"
"Big Trouble In Little China: Escape From New York",1B,,"Subscription Cover","Boom! Studios","Oct 05, 2016",Comic,"Jan 11, 2017","Gregory Pak | Daniel Bayliss"
"Big Trouble In Little China: Escape From New York",1F,,"Loot Crate Exclusive","Boom! Studios","Oct 05, 2016",Comic,"Jan 11, 2017",
"Big Trouble In Little China: Escape From New York",2A,"Part 2","Regular Daniel Bayliss Wraparound Cover","Boom! Studios","Nov 02, 2016",Comic,"Jan 05, 2018","Gregory Pak | Daniel Bayliss"
"Big Trouble In Little China: Escape From New York",2B,,"Variant Humberto Ramos Subscription Cover","Boom! Studios","Nov 02, 2016",Comic,"Jan 11, 2017","Gregory Pak | Daniel Bayliss"
"Big Trouble In Little China: Escape From New York",3A,"Part 3",,"Boom! Studios","Dec 07, 2016",Comic,"Jan 05, 2018","Gregory Pak | Daniel Bayliss"
"Big Trouble In Little China: Escape From New York",3B,,,"Boom! Studios","Dec 07, 2016",Comic,"Jan 11, 2017","Gregory Pak | Daniel Bayliss"
"Big Trouble In Little China: Escape From New York",4A,,"Wraparound Cover","Boom! Studios","Jan 04, 2017",Comic,"Feb 25, 2017","Gregory Pak | Daniel Bayliss"
"Big Trouble In Little China: Escape From New York",4B,"Part 4","Subscription Felipe Massafera Cover","Boom! Studios","Jan 04, 2017",Comic,"Jan 05, 2018","Gregory Pak | Daniel Bayliss"
"Big Trouble In Little China: Escape From New York",5A,"Part Five","Wraparound Daniel Bayliss Cover","Boom! Studios","Feb 01, 2017",Comic,"Jan 05, 2018","Gregory Pak | Daniel Bayliss"
"Big Trouble In Little China: Escape From New York",5B,,"Subscription Giuseppe Camuncoli Cover","Boom! Studios","Feb 01, 2017",Comic,"Feb 25, 2017","Gregory Pak | Daniel Bayliss"
"Big Trouble In Little China: Escape From New York",6B,,"Variant Ryan Browne Subscription Cover","Boom! Studios","Mar 01, 2017",Comic,"Jan 05, 2018","Gregory Pak | Daniel Bayliss"
"Big Trouble In Little China: Old Man Jack",1A,,"Cover A by Stephane Roux","Boom! Studios","Sep 20, 2017",Comic,"Jul 12, 2018","John Carpenter | Anthony Burch | Jorge Corona"
"Big Trouble In Little China: Old Man Jack",2A,,,"Boom! Studios","Oct 25, 2017",Comic,"Jul 12, 2018",
"Big Trouble In Little China: Old Man Jack",3A,,,"Boom! Studios","Nov 22, 2017",Comic,"Jul 12, 2018",
"Big Trouble In Little China: Old Man Jack",4A,,"Cover A","Boom! Studios","Dec 20, 2017",Comic,"Jul 12, 2018","John Carpenter | Anthony Burch | Jorge Corona"
"Big Trouble In Little China: Old Man Jack",5A,,,"Boom! Studios","Jan 31, 2018",Comic,"Jul 12, 2018","John Carpenter | Anthony Burch | Jorge Corona"
"Big Trouble In Little China: Old Man Jack",6A,,"Regular Jorge Corona Cover","Boom! Studios","Feb 28, 2018",Comic,"Jul 12, 2018","John Carpenter | Jorge Corona | Anthony Burch"
"Big Trouble In Little China: Old Man Jack",7B,,,"Boom! Studios","Mar 21, 2018",Comic,"Jul 12, 2018","John Carpenter | Anthony Burch | Jorge Corona"
"Big Trouble In Little China: Old Man Jack",8A,,"Cover A by Greg Smallwood","Boom! Studios","Apr 25, 2018",Comic,"Jul 12, 2018",
"Big Trouble In Little China: Old Man Jack",9A,,"Regular Rahzzah Cover","Boom! Studios","May 23, 2018",Comic,"Aug 03, 2018","John Carpenter | Jorge Corona"
"Big Trouble In Little China: Old Man Jack",10A,,"Cover by Brett Parson","Boom! Studios","Jun 27, 2018",Comic,"Aug 03, 2018",
"Big Trouble In Little China: Old Man Jack",11A,,"Cover by Brett Parson","Boom! Studios","Jul 25, 2018",Comic,"Aug 03, 2018",
"Big Trouble In Little China: Old Man Jack",12A,,"Brett Parson Cover","Boom! Studios","Aug 22, 2018",Comic,"Jan 19, 2019",
"Birds of Prey, Vol. 3",0,"First Flight",,"DC Comics","Sep 19, 2012",Comic,"Feb 23, 2014","Duane Swierczynski | Romano Molenaar | Vicente Cifuentes"
"Birds of Prey, Vol. 3",1B,"Let Us Prey","2nd Print","DC Comics","Sep 21, 2011",Comic,"Feb 23, 2014","Duane Swierczynski | Jesús Saíz"
"Birds of Prey, Vol. 3",6,"Clean Getaway",,"DC Comics","Feb 15, 2012",Comic,"Feb 23, 2014","Duane Swierczynski | Javier Pina"
"Birds of Prey, Vol. 3",7,"Brain Damage",,"DC Comics","Mar 21, 2012",Comic,"Feb 23, 2014","Duane Swierczynski | Jesús Saíz"
"Birds of Prey, Vol. 3",8,"A Far Cry",,"DC Comics","Apr 18, 2012",Comic,"Feb 23, 2014","Duane Swierczynski | Jesús Saíz | Javier Pina"
